place,title,coverage
qsr-place:2238,31 London Street,"-43.6027,172.7211"
qsr-place:2379,31 Morganwood Street,"-43.5156,172.7221"
qsr-place:1819,"31 Onuku Road, Akaroa","-43.8155,172.9594"
qsr-place:2448,"31 Ranfurly Street, Kaiapoi","-43.373,172.657"
qsr-place:1691,31 Talbot Street,"-44.0911,171.2440"
qsr-place:2987,31 Vicki Street,"-43.536,172.565"
qsr-place:2621,310 Manchester Street,"-43.5235,172.6402"
qsr-place:65,310 St Asaph Street,"-43.5366,172.6462"
qsr-place:1414,311 Manchester Street,"-43.5267,172.6394"
qsr-place:64,311 Stanmore Road,"-43.5193,172.6560"
qsr-place:268,312 Montreal Street,"-43.5306,172.6310"
qsr-place:425,314 Montreal Street,"-43.5304,172.6310"
qsr-place:305,315 Manchester Street,"-43.5264,172.6394"
qsr-place:1412,315 Stanmore Road,"-43.5192,172.6560"
qsr-place:426,316 Montreal Street,"-43.5303,172.6310"
qsr-place:427,318 Montreal Street,"-43.5303,172.6310"
qsr-place:2129,319 River Road,"-43.5180,172.6638"
qsr-place:63,32 Armagh Street,"-43.5289,172.6296"
qsr-place:582,32 Bowenvale Avenue,"-43.5742,172.644"
qsr-place:118,32 Cathedral Square,"-43.5306,172.6381"
qsr-place:2945,32 Dryden Street,"-43.5738,172.7620"
qsr-place:1464,32 Glendevere Terrace,"-43.5601,172.7322"
qsr-place:304,32 Lichfield Street,"-43.5344,172.6346"
qsr-place:2000,32 Linwood Avenue,"-43.5264,172.6614"
qsr-place:2117,32 Montreal Street,"-43.5463,172.6314"
qsr-place:2571,32 Norwich Quay,"-43.6033,172.7204"
qsr-place:449,32 Peacock Street,"-43.5219,172.6326"
qsr-place:905,32 Pembroke Street,"-43.5117,172.6870"
qsr-place:2162,32 Wairoa Street,"-43.5111,172.7224"
qsr-place:2345,320 Hereford Street,"-43.5324,172.6494"
qsr-place:2578,320 Linwood Avenue,"-43.5367,172.6772"
qsr-place:428,320 Montreal Street,"-43.5302,172.6310"
qsr-place:1316,322 Avonside Drive,"-43.5185,172.6653"
qsr-place:62,322 Manchester Street,"-43.5228,172.6399"
qsr-place:429,322 Montreal Street,"-43.5301,172.6309"
qsr-place:2937,322 Tuam Street,"-43.5354,172.6469"
qsr-place:2642,323 Barbadoes Street,"-43.5285,172.6454"
qsr-place:1854,323 Gloucester Street,"-43.5296,172.6492"
qsr-place:61,323 Madras Street,"-43.5253,172.6424"
qsr-place:1317,324 Avonside Drive,"-43.5182,172.6652"
qsr-place:705,324 Barbadoes Street,"-43.5286,172.6458"
qsr-place:2702,325 River Road,"-43.5171,172.6639"
qsr-place:476,325 Stanmore Road,"-43.5188,172.6562"
qsr-place:1531,326 Montreal Street,"-43.5297,172.6309"
qsr-place:1318,328 Avonside Drive,"-43.5180,172.6652"
qsr-place:187,329 Durham Street North,"-43.5272,172.6334"
qsr-place:713,33 Birch Street,"-43.5143,172.7217"
qsr-place:2408,33 Brighton Mall,"-43.5073,172.7299"
qsr-place:1974,33 Cashel Street,"-43.5329,172.6299"
qsr-place:856,33 Clifford Avenue,"-43.5185,172.6069"
qsr-place:1171,33 Connal Street,"-43.5533,172.6826"
qsr-place:2287,33 Keighleys Road,"-43.536,172.688"
qsr-place:1657,33 London Street,"-43.6027,172.7210"
qsr-place:1722,33 Rolleston Avenue,"-43.5300,172.6254"
qsr-place:605,33 Seabreeze Close,"-43.5191,172.7211"
qsr-place:60,33 Stoke Street,"-43.5719,172.7596"
qsr-place:1349,33 Worcester Street,"-43.5308,172.6298"
qsr-place:2546,331 Cashel Street,"-43.5328,172.6500"
qsr-place:2714,331 River Road,"-43.5170,172.6635"
qsr-place:2839,332 Avonside Drive,"-43.5178,172.6650"
qsr-place:1835,333 Barbadoes Street,"-43.5280,172.6455"
qsr-place:2710,333 River Road,"-43.5169,172.6635"
qsr-place:1211,333 Tuam Street,"-43.5351,172.6492"
qsr-place:59,334 Barbadoes Street,"-43.5282,172.6460"
qsr-place:186,335 Durham Street North,"-43.5270,172.6334"
qsr-place:56,335 Manchester Street,"-43.5253,172.6394"
qsr-place:2841,336 Avonside Drive,"-43.5176,172.6650"
qsr-place:344,336 Barbadoes Street,"-43.5280,172.6459"
qsr-place:1975,336 St Asaph Street,"-43.5366,172.6480"
qsr-place:609,337 New Brighton Road,"-43.5008,172.6902"
qsr-place:1863,338 Madras Street,"-43.5252,172.6428"
qsr-place:286,339 Cashel Street,"-43.5330,172.6510"
qsr-place:819,3390 Main South Road,"-43.6595,172.1956"
qsr-place:401,34 Armagh Street,"-43.5289,172.6297"
qsr-place:1797,34 Bedford Row,"-43.5339,172.6418"
qsr-place:1276,34 Charles Street,"-43.3811,172.6580"
qsr-place:1851,34 Dyers Pass Road,"-43.5698,172.6302"
qsr-place:527,34 Gayhurst Road,"-43.5194,172.6731"
qsr-place:1463,34 Glendevere Terrace,"-43.5599,172.7321"
qsr-place:2919,34 Greenhaven Drive,"-43.4874,172.6818"
qsr-place:2262,34 Hansons Lane,"-43.5347,172.5723"
qsr-place:2264,34 Hastings Street West,"-43.5489,172.6388"
qsr-place:564,34 Mundys Road,"-43.5077,172.6771"
qsr-place:1256,34 Norwich Quay,"-43.6034,172.7203"
qsr-place:2346,34 Oxford Street,"-43.603,172.723"
qsr-place:820,34 Retreat Road,"-43.5219,172.6635"
qsr-place:659,34 Wakefield Avenue,"-43.5702,172.7585"
qsr-place:145,340 Colombo Street,"-43.5472,172.6370"
qsr-place:586,341 Bealey Avenue,"-43.5206,172.6502"
qsr-place:813,342 Marshland Road,"-43.4812,172.6604"
qsr-place:144,343 Colombo Street,"-43.5472,172.6364"
qsr-place:593,347 River Road,"-43.5161,172.6643"
qsr-place:2286,35 Amyes Road,"-43.547,172.529"
qsr-place:714,35 Birch Street,"-43.5143,172.7219"
qsr-place:58,35 Cambridge Terrace,"-43.5340,172.6293"
qsr-place:2347,35 Charles Street,"-43.3815,172.6576"
qsr-place:572,35 London Street,"-43.6026,172.7208"
qsr-place:2535,35 New Regent Street,"-43.5291,172.6386"
qsr-place:919,35 North Parade,"-43.5158,172.6595"
qsr-place:1583,35 Sir William Pickering Drive,"-43.4977,172.5592"
qsr-place:864,35 Thorton Street,"-43.5060,172.6477"
qsr-place:598,35 Waitaki Street,"-43.5091,172.7184"
qsr-place:57,351 St Asaph Street,"-43.5362,172.6472"
qsr-place:2843,352 Avonside Drive,"-43.5170,172.6650"
qsr-place:2581,352 Colombo Street,"-43.5465,172.6369"
qsr-place:1066,353 Montreal Street,"-43.5257,172.6304"
qsr-place:2845,356 Avonside Drive,"-43.5169,172.6650"
qsr-place:108,356 Gloucester Street,"-43.5301,172.6521"
qsr-place:1381,356 Oxford Terrace,"-43.5245,172.6476"
qsr-place:822,357 Breezes Road,"-43.5209,172.7066"
qsr-place:2070,358 Gloucester Street,"-43.5300,172.6522"
qsr-place:1636,358 Montreal Street,"-43.5257,172.6308"
qsr-place:1837,359 Barbadoes Street,"-43.5264,172.6455"
qsr-place:402,36 Armagh Street,"-43.5289,172.6297"
qsr-place:1830,36 Bangor Street,"-43.5247,172.6493"
qsr-place:1798,36 Bedford Row,"-43.5338,172.6421"
qsr-place:1704,36 Forest Drive,"-43.6330,171.6467"
qsr-place:1462,36 Glendevere Terrace,"-43.5598,172.7319"
qsr-place:2221,36 Lichfield Street,"-43.5344,172.6351"
qsr-place:1129,36 London Street,"-43.6024,172.7210"
qsr-place:2270,36 Manchester Street,"-43.5382,172.6400"
qsr-place:206,36 St Asaph Street,"-43.5368,172.6267"
qsr-place:2381,36 Wetlands Grove,"-43.5175,172.7224"
qsr-place:2847,360 Avonside Drive,"-43.5167,172.6651"
qsr-place:2071,360 Gloucester Street,"-43.5301,172.6525"
qsr-place:1752,361 Cambridge Terrace,"-43.5225,172.6486"
qsr-place:2525,362 St Asaph Street,"-43.5366,172.6498"
qsr-place:2217,363 Colombo Street,"-43.5465,172.6369"
qsr-place:2204,363 Lincoln Road,"-43.5405,172.6165"
qsr-place:1977,363 St Asaph Street,"-43.5362,172.6479"
qsr-place:1365,365 River Road,"-43.5146,172.6657"
qsr-place:1401,367 Durham Street North,"-43.5250,172.6336"
qsr-place:1325,367 River Road,"-43.5144,172.6658"
qsr-place:237,368 Barbadoes Street,"-43.5262,172.6459"
qsr-place:2439,37 Cunningham Place,"-43.572,172.565"
qsr-place:143,37 Hackthorne Road,"-43.5730,172.6251"
qsr-place:1059,37 Latimer Square,"-43.5301,172.6417"
qsr-place:573,37 London Street,"-43.6026,172.7207"
qsr-place:899,37 Sefton Street,"-43.4549,172.6224"
qsr-place:2576,370 Colombo Street,"-43.5458,172.6369"
qsr-place:2499,370 Oxford Terrace,"-43.5236,172.6472"
qsr-place:2644,371 River Road,"-43.5144,172.6661"
qsr-place:2534,371 St Asaph Street,"-43.5362,172.6484"
qsr-place:2500,372 Oxford Terrace,"-43.5235,172.6472"
qsr-place:55,373 Manchester Street,"-43.5230,172.6391"
qsr-place:1324,373 River Road,"-43.5142,172.6663"
qsr-place:1149,374 Montreal Street,"-43.5242,172.6309"
qsr-place:2203,375 Wilsons Road North,"-43.5446,172.6542"
qsr-place:54,376 Oxford Terrace,"-43.5234,172.6474"
qsr-place:650,377 Halkett Road,"-43.5147,172.3527"
qsr-place:1326,377 River Road,"-43.5141,172.6665"
qsr-place:333,378 Oxford Terrace,"-43.5234,172.6475"
qsr-place:403,38 Armagh Street,"-43.5289,172.6298"
qsr-place:1829,38 Bangor Street,"-43.5247,172.6493"
qsr-place:2087,38 Belleview Terrace,"-43.5704,172.7193"
qsr-place:2482,"38 Charles Street, Kaiapoi","-43.3814,172.6581"
qsr-place:613,38 Dallington Terrace,"-43.5176,172.6732"
qsr-place:1461,38 Glendevere Terrace,"-43.5596,172.7317"
qsr-place:2076,38 London Street,"-43.6024,172.7209"
qsr-place:1634,38 Orchard Road,"-43.4883,172.5469"
qsr-place:2382,38 Wetlands Grove,"-43.5177,172.7223"
qsr-place:2348,380 Estuary Road,"-43.5368,172.7380"
qsr-place:1991,381 Montreal Street,"-43.5248,172.6303"
qsr-place:1327,381 River Road,"-43.5141,172.6667"
qsr-place:1045,382 Colombo Street,"-43.5455,172.6367"
qsr-place:1342,383 River Road,"-43.5140,172.6669"
qsr-place:1842,384 Colombo Street,"-43.5454,172.6368"
qsr-place:731,384 Worcester Street,"-43.5309,172.6568"
qsr-place:1172,385 Ellesmere Junction Road,"-43.6431,172.4242"
qsr-place:1502,385 Oxford Terrace,"-43.5233,172.6476"
qsr-place:738,385 Worcester Street,"-43.5305,172.6563"
qsr-place:1843,386 Colombo Street,"-43.5453,172.6368"
qsr-place:2349,386 Estuary Road,"-43.5370   ,172.7383"
qsr-place:279,386 Moorhouse Avenue,"-43.5403,172.6402"
qsr-place:1870,386 Oxford Terrace,"-43.5235,172.6476"
qsr-place:1865,387 Manchester Street,"-43.5223,172.6386"
qsr-place:733,387 Worcester Street,"-43.5308,172.6564"
qsr-place:2062,388 Colombo Street,"-43.5453,172.6368"
qsr-place:2901,388 Montreal Street,"-43.5234,172.6310"
qsr-place:433,388 Moorhouse Avenue,"-43.5402,172.6408"
qsr-place:1871,388 Oxford Terrace,"-43.5235,172.6477"
qsr-place:1405,388 Worcester Street,"-43.5311,172.6573"
qsr-place:1334,389 River Road,"-43.5140,172.6674"
qsr-place:730,389 Worcester Street,"-43.5308,172.6565"
qsr-place:142,39 Cathedral Square,"-43.5312,172.6350"
qsr-place:852,39 Glynne Crescent,"-43.5580,172.6062"
qsr-place:1025,39 Manchester Street,"-43.5379,172.6393"
qsr-place:2307,39 Nursery Road,"-43.538,172.656"
qsr-place:2372,39 Princess Street,"-43.5393,172.6005"
qsr-place:1577,390 Colombo Street,"-43.5453,172.6369"
qsr-place:434,390 Moorhouse Avenue,"-43.5403,172.6413"
qsr-place:2502,390 Oxford Terrace,"-43.5236,172.6479"
qsr-place:2143,391 Estuary Road,"-43.5370,172.7390"
qsr-place:1362,391 River Road,"-43.5137,172.6673"
qsr-place:732,391 Worcester Street,"-43.5308,172.6567"
qsr-place:435,392 Moorhouse Avenue,"-43.5402,172.6420"
qsr-place:2322,392 Oxford Terrace,"-43.5235,172.6480"
qsr-place:772,393 Montreal Street,"-43.5236,172.6304"
qsr-place:1328,393 River Road,"-43.5140,172.6677"
qsr-place:2216,394 Colombo Street,"-43.5451,172.6369"
qsr-place:1261,395 Montreal Street,"-43.5239,172.6306"
qsr-place:1333,395 River Road,"-43.5139,172.6679"
qsr-place:729,395 Worcester Street,"-43.5308,172.6569"
qsr-place:2202,396 Colombo Street,"-43.5451,172.6368"
qsr-place:2503,396 Oxford Terrace,"-43.5235,172.6482"
qsr-place:2350,3979 West Coast Road,"-43.4465,172.0672"
qsr-place:2504,398 Oxford Terrace,"-43.5235,172.6484"
qsr-place:1332,399 River Road,"-43.5139,172.6680"
qsr-place:2698,4 Alice Street,"-43.4986,172.6745"
qsr-place:1952,4 Armagh Street,"-43.5290,172.6279"
qsr-place:938,4 Arnold Street,"-43.5747,172.7587"
qsr-place:678,4 Birch Street,"-43.5155,172.7185"
qsr-place:720,4 Brook Street,"-43.5143,172.7185"
qsr-place:53,4 Cherry Vale Lane,"-43.3830,172.6653"
qsr-place:2614,4 Clarke Avenue,"-43.3794,172.7033"
qsr-place:798,4 Cromer Place,"-43.5242,172.7306"
qsr-place:633,4 Duchess Lane,"-43.5739,172.5492"
qsr-place:2758,4 Goodman Street,"-43.5038,172.6751"
qsr-place:637,4 Gray Crescent,"-43.3836,172.6675"
qsr-place:2696,4 Moncrieff Place,"-43.5014,172.6741"
qsr-place:892,4 Old Main North Road,"-43.1915,172.7408"
qsr-place:1438,4 Reserve Close,"-43.5471,172.6880"
qsr-place:2376,4 Riccarton Avenue,"-43.5340,172.6234"
qsr-place:1695,4 Seabreeze Close,"-43.5180,172.7204"
qsr-place:2917,4 Sumner Road,"-43.6032,172.7230"
qsr-place:578,4 Wakefield Avenue,"-43.5687,172.7590"
qsr-place:2666,4 Waygreen Avenue,"-43.5011,172.7050"
qsr-place:841,4 Wichita Place,"-43.4935,172.6794"
qsr-place:316,4 Wilmer Street,"-43.5385,172.6309"
qsr-place:1812,40 Armagh Street,"-43.5289,172.6299"
qsr-place:2147,40 Avoca Valley Road,"-43.5725,172.6832"
qsr-place:477,40 Cass Street,"-43.3834,172.6648"
qsr-place:2481,"40 Charles Street, Kaiapoi","-43.3814,172.6581"
qsr-place:1951,40 Cranmer Square,"-43.5267,172.6314"
qsr-place:811,40 Croydon Street,"-43.5553,172.6464"
qsr-place:2199,40 Guild Street,"-43.5129,172.6547"
qsr-place:1340,40 Hendon Street,"-43.5124,172.6508"
qsr-place:2274,40 Kilmore Street,"-43.5267,172.6314"
qsr-place:2105,40 Norwich Quay,"-43.6032,172.7199"
qsr-place:583,40 Norwood Street,"-43.561,172.644"
qsr-place:2387,40 Orari Street,"-43.5112,172.7208"
qsr-place:2832,40 Rebecca Avenue,"-43.4948,172.6989"
qsr-place:642,40 St James Avenue,"-43.5003,172.6051"
qsr-place:189,40 Worcester Street,"-43.5311,172.6303"
qsr-place:2063,400 Colombo Street,"-43.5450,172.6368"
qsr-place:1329,401 River Road,"-43.5139,172.6682"
qsr-place:1404,401 Worcester Street,"-43.5307,172.6573"
qsr-place:1553,402 Colombo Street,"-43.5450,172.6369"
qsr-place:1501,402 Oxford Terrace,"-43.5235,172.6486"
qsr-place:2903,404 Barbadoes Street,"-43.5215,172.6459"
qsr-place:460,404 Colombo Street,"-43.5449,172.6368"
qsr-place:849,405 Avonhead Road,"-43.5037,172.5596"
qsr-place:2849,406 Avonside Drive,"-43.5151,172.6670"
qsr-place:2321,406 Oxford Terrace,"-43.5234,172.6488"
qsr-place:1330,409 River Road,"-43.5138,172.6686"
qsr-place:734,409 Worcester Street,"-43.5307,172.6579"
qsr-place:906,41 Buffon Street,"-43.5503,172.6512"
qsr-place:2563,41 Fitzgerald Avenue,"-43.5372,172.6501"
qsr-place:1548,41 Hereford Street,"-43.5319,172.6304"
qsr-place:2371,41 Merrin Street,"-43.511,172.558"
qsr-place:2229,41 Nayland Street,"-43.5695,172.7594"
qsr-place:2708,41 Seabreeze Close,"-43.5195,172.7211"
qsr-place:2303,41 Voelas Road,"-43.602,172.710"
qsr-place:2505,410 Oxford Terrace,"-43.5235,172.6493"
qsr-place:1331,411 River Road,"-43.5138,172.6689"
qsr-place:2506,412 Oxford Terrace,"-43.5236,172.6495"
qsr-place:229,417 New Brighton Road,"-43.50,172.70"
qsr-place:1465,42 Balmoral Lane,"-43.5589,172.7315"
qsr-place:52,42 Dryden Street,"-43.5744,172.7630"
qsr-place:2597,42 Hilton Street,"-43.3820,172.6547"
qsr-place:535,42 London Street,"-43.6023,172.7208"
qsr-place:703,42 Manchester Street,"-43.5381,172.6400"
qsr-place:2388,42 Orari Street,"-43.5112,172.7211"
qsr-place:1386,42 Papanui Road,"-43.5190,172.6270"
qsr-place:141,42 Phillips Street,"-43.5370,172.6554"
qsr-place:2833,42 Rebecca Avenue,"-43.4948,172.6985"
qsr-place:2451,"42 Rue Jolie, Akaroa","-43.8030,172.9675"
qsr-place:728,420 Cashel Street,"-43.5333,172.6557"
qsr-place:1867,420 Montreal Street,"-43.5221,172.6311"
qsr-place:1839,421 Cashel Street,"-43.5330,172.6562"
qsr-place:1430,421 Colombo Street,"-43.5444,172.6365"
qsr-place:1363,422 Avonside Drive,"-43.5149,172.6676"
qsr-place:2501,422 Oxford Terrace,"-43.5238,172.6497"
qsr-place:1849,423 Durham Street North,"-43.5219,172.6332"
qsr-place:2991,424 Colombo Street,"-43.5439,172.6368"
qsr-place:1500,424 Oxford Terrace,"-43.5239,172.6498"
qsr-place:727,425 Cashel Street,"-43.5330,172.6562"
qsr-place:592,426 Madras Street,"-43.5202,172.6429"
qsr-place:2507,426 Oxford Terrace,"-43.5239,172.6498"
qsr-place:1499,428 Oxford Terrace,"-43.5241,172.6500"
qsr-place:2466,"43 Cass Street, Kaiapoi","-43.3834,172.6639"
qsr-place:612,43 Gayhurst Road,"-43.5186,172.6733"
qsr-place:2539,43 Hawke Street,"-43.5071,172.7275"
qsr-place:898,43 Kaiwara Street,"-43.5723,172.6086"
qsr-place:554,43 Liggins Street,"-43.5000,172.6789"
qsr-place:2384,43 Wetlands Grove,"-43.5176,172.7230"
qsr-place:737,430 Cashel Street,"-43.5333,172.6557"
qsr-place:459,430 Colombo Street,"-43.5437,172.6370"
qsr-place:2508,432 Oxford Terrace,"-43.5242,172.6499"
qsr-place:1850,435 Durham Street North,"-43.5213,172.6333"
qsr-place:2323,436 Oxford Terrace,"-43.5244,172.6501"
qsr-place:1978,437 Colombo Street,"-43.5441,172.6364"
qsr-place:457,437 Halswell Road,"-43.590,172.570"
qsr-place:812,44 Brabourne Street,"-43.5615,172.6710"
qsr-place:936,44 Cleveland Street,"-43.5100,172.6492"
qsr-place:796,44 Koromiko Street,"-43.5604,172.6544"
qsr-place:570,44 London Street,"-43.6022,172.7204"
qsr-place:2568,44 Welles Street,"-43.5371,172.6391"
qsr-place:910,44 West Belt,"-43.6429,172.4816"
qsr-place:140,44 Winchester Street,"-43.6006,172.7195"
qsr-place:1053,440 Colombo Street,"-43.5437,172.6367"
qsr-place:1498,440 Oxford Terrace,"-43.5245,172.6505"
qsr-place:458,441 Colombo Street,"-43.5438,172.6365"
qsr-place:1364,444 Avonside Drive,"-43.5149,172.6689"
qsr-place:2851,448 Avonside Drive,"-43.5152,172.6691"
qsr-place:1844,448 Colombo Street,"-43.5433,172.6368"
qsr-place:139,45 Charles Street,"-43.3819,172.6578"
qsr-place:2033,45 Creyke Road,"-43.5218,172.5858"
qsr-place:2638,45 Fitzgerald Avenue,"-43.5373,172.6500"
qsr-place:2212,45 Harvard Avenue,"-43.5465,172.5476"
qsr-place:51,45 Lichfield Street,"-43.5341,172.6359"
qsr-place:559,45 Locksley Avenue,"-43.5194,172.6754"
qsr-place:834,45 McDougall Avenue,"-43.5085,172.6232"
qsr-place:944,45 Port Hills Road,"-43.5793,172.7058"
qsr-place:2509,450 Oxford Terrace,"-43.5249,172.6503"
qsr-place:2521,451 Colombo Street,"-43.5433,172.6364"
qsr-place:2853,452 Avonside Drive,"-43.5151,172.6695"
qsr-place:1845,452 Colombo Street,"-43.5433,172.6368"
qsr-place:1435,452 Ferry Road,"-43.5449,172.6709"
qsr-place:1429,454 Colombo Street,"-43.5432,172.6369"
qsr-place:1434,454 Ferry Road,"-43.5449,172.6710"
qsr-place:933,454 Wairakei Road,"-43.4917,172.5734"
qsr-place:2418,455 Hagley Avenue,"-43.5389,172.6182"
qsr-place:2328,455 Linwood Avenue,"-43.5417,172.6872"
qsr-place:1275,456 Avonside Drive,"-43.5152,172.6697"
qsr-place:1125,456 Colombo Street,"-43.5431,172.6369"
qsr-place:1085,456 Hagley Avenue,"-43.5385,172.6204"
qsr-place:2324,456 Oxford Terrace,"-43.5251,172.6503"
qsr-place:2510,458 Oxford Terrace,"-43.5251,172.6500"
qsr-place:643,46 Akaroa Street,"-43.4970,172.6535"
qsr-place:239,46 Bedford Row,"-43.5339,172.6424"
qsr-place:1431,46 Gayhurst Road,"-43.5192,172.6739"
qsr-place:178,46 Lichfield Street,"-43.5344,172.6354"
qsr-place:560,46 Mundys Road,"-43.5075,172.6788"
qsr-place:2960,46 Queenspark Drive,"-43.4819,172.7072"
qsr-place:1046,461 Colombo Street,"-43.5429,172.6365"
qsr-place:2522,462 Colombo Street,"-43.5430,172.6368"
qsr-place:50,462 Durham Street North,"-43.5183,172.6338"
qsr-place:1846,463 Colombo Street,"-43.5428,172.6365"
qsr-place:888,464 Sparks Road,"-43.5860,172.5748"
qsr-place:1940,465 Colombo Street,"-43.5428,172.6365"
qsr-place:939,466 Earlys Road,"-43.3117,172.3819"
qsr-place:2072,466 Gloucester Street,"-43.5300,172.6591"
qsr-place:2511,466 Oxford Terrace,"-43.5256,172.6495"
qsr-place:1941,467 Colombo Street,"-43.5427,172.6365"
qsr-place:1979,468 Colombo Street,"-43.5427,172.6368"
qsr-place:2512,468 Oxford Terrace,"-43.5258,172.6496"
qsr-place:1847,469 Colombo Street,"-43.5427,172.6364"
qsr-place:1505,47 Cathedral Square,"-43.5307,172.6351"
qsr-place:912,47 Durrell Way,"-43.5985,172.3871"
qsr-place:875,47 Gladstone Road,"-43.3245,172.6694"
qsr-place:138,47 Hereford Street,"-43.5318,172.6308"
qsr-place:536,47 London Street,"-43.6025,172.7202"
qsr-place:2163,47 Major Hornbrook Road,"-43.5602,172.7177"
qsr-place:2103,47 Salisbury Street,"-43.5242,172.6312"
qsr-place:1221,470 Papanui Road,"-43.4978,172.6089"
qsr-place:49,470 Tuam Street,"-43.5356,172.6567"
qsr-place:1424,471 Moorhouse Avenue,"-43.5397,172.6495"
qsr-place:1942,48 Hereford Street,"-43.5323,172.6325"
qsr-place:109,48 Lichfield Street,"-43.5343,172.6355"
qsr-place:878,48 Nancy Avenue,"-43.4980,172.6370"
qsr-place:2314,48 School Road,"-43.510,172.502"
qsr-place:1764,48 Wakefield Avenue,"-43.5723,172.7581"
qsr-place:2653,48 Wetlands Grove,"-43.5183,172.7228"
qsr-place:48,480 Colombo Street,"-43.5424,172.6369"
qsr-place:669,481 Colombo Street,"-43.5415,172.6351"
qsr-place:2469,488 Colombo Street,"-43.5421,172.6369"
qsr-place:1417,49 Cambridge Terrace,"-43.5339,172.6302"
qsr-place:523,49 Gayhurst Road,"-43.5183,172.6737"
qsr-place:1532,49 Gloucester Street,"-43.5295,172.6311"
qsr-place:1222,49 Hilton Street,"-43.3827,172.6547"
qsr-place:1336,49 Marshland Road,"-43.5045,172.6622"
qsr-place:1389,49 Peterborough Street,"-43.5255,172.6317"
qsr-place:195,49 Rolleston Avenue,"-43.5299,172.6271"
qsr-place:1587,49 Sir William Pickering Drive,"-43.4983,172.5610"
qsr-place:2401,49 Waitaki Street,"-43.5096,172.7191"
qsr-place:1223,490 Papanui Road,"-43.4972,172.6084"
qsr-place:2855,494 Avonside Drive,"-43.5164,172.6712"
qsr-place:2222,5 Augusta Street,"-43.5627,172.7386"
qsr-place:2351,5 Corokia Close,"-43.4020,172.6962"
qsr-place:887,5 England Street,"-43.5350,172.6618"
qsr-place:948,5 Fawcetts Road,"-43.2740,172.5833"
qsr-place:47,5 Heaton Street,"-43.5130,172.6099"
qsr-place:2460,"5 High Street, Rangiora","-43.3032,172.5994"
qsr-place:622,5 Highgate Avenue,"-43.5179,172.6134"
qsr-place:485,5 Johanna Lane,"-43.5187,172.6723"
qsr-place:871,5 Judge Street,"-43.5520,172.6669"
qsr-place:2004,5 London Street,"-43.6030,172.7222"
qsr-place:397,5 Main North Road,"-43.4967,172.6077"
qsr-place:897,5 McLellan Place,"-43.5182,172.5673"
qsr-place:891,5 Melville Crescent,"-43.6081,172.3611"
qsr-place:1131,5 Norwich Quay,"-43.6042,172.7223"
qsr-place:2244,5 Olliviers Road,"-43.5402,172.6599"
qsr-place:137,5 Overdale Drive,"-43.570,172.630"
qsr-place:651,5 Penrith Avenue,"-43.5552,172.6291"
qsr-place:2494,5 Rees Street,"-43.5251,172.6494"
qsr-place:753,5 Struthers Lane,"-43.5350,172.6371"
qsr-place:1450,5 Tidal View,"-43.5576,172.7068"
qsr-place:900,50 Blankney Street,"-43.5523,172.5324"
qsr-place:136,50 Cathedral Square,"-43.5305,172.6377"
qsr-place:430,50 Gloucester Street,"-43.5301,172.6312"
qsr-place:1694,50 Hoon Hay Road,"-43.558,172.598"
qsr-place:915,50 Jacksons Road,"-43.5987,172.7193"
qsr-place:377,50 Lichfield Street,"-43.5344,172.6357"
qsr-place:2057,50 Salisbury Street,"-43.5247,172.6317"
qsr-place:46,50 Victoria Street,"-43.5253,172.6321"
qsr-place:2352,500 Avonside Drive,"-43.5168,172.6715"
qsr-place:2536,500 Colombo Street,"-43.5417,172.6369"
qsr-place:2353,502 Avonside Drive,"-43.5169,172.6716"
qsr-place:2587,502 Worcester Street,"-43.5311,172.6642"
qsr-place:2245,507 Papanui Road,"-43.4973,172.6079"
qsr-place:608,509 New Brighton Road,"-43.5037,172.7109"
qsr-place:2246,509 Papanui Road,"-43.4973,172.6078"
qsr-place:1815,51 Chester Street West,"-43.5275,172.6333"
qsr-place:690,51 Creyke Road,"-43.5217,172.5856"
qsr-place:2478,51 Hilton Street,"-43.3827,172.6547"
qsr-place:947,51 Laurence Street,"-43.5454,172.6610"
qsr-place:1448,51 Springfield Road,"-43.5183,172.6324"
qsr-place:934,51 Ward Street,"-43.5456,172.6203"
qsr-place:2383,51 Wetlands Grove,"-43.5178,172.7230"
qsr-place:2538,510 Hagley Avenue,"-43.5379,172.6236"
qsr-place:649,519 Halkett Road,"-43.507,172.337"
qsr-place:135,52 Armagh Street,"-43.5291,172.6311"
qsr-place:1831,52 Bangor Street,"-43.5241,172.6493"
qsr-place:1774,52 Cathedral Square,"-43.5303,172.6375"
qsr-place:648,52 Corfe Street,"-43.5241,172.5659"
qsr-place:1224,52 Fuller Street,"-43.3834,172.6540"
qsr-place:843,52 Grampian Street,"-43.4779,172.6048"
qsr-place:2332,52 Halswell Road,"-43.5552,172.5916"
qsr-place:235,52 Main Road,"-43.6238,172.6480"
qsr-place:2028,52 Manchester Street,"-43.5374,172.6399"
qsr-place:1521,52 Peterborough Street,"-43.5251,172.6323"
qsr-place:1711,52 Sewell Street,"-43.3824,172.6615"
qsr-place:2524,53 Battersea Street,"-43.5433,172.6353"
qsr-place:45,53 Cathedral Square,"-43.5305,172.6353"
qsr-place:1225,53 Fuller Street,"-43.3838,172.6537"
qsr-place:565,53 Gayhurst Road,"-43.5182,172.6743"
qsr-place:1533,53 Gloucester Street,"-43.5296,172.6314"
